"formal_name","location_address","suburb","postcode","address","latitude","longitude","category"
"70 Lowe Street","70 LOWE Street","ARARAT","3377","70 LOWE Street, ARARAT, VIC, 3377, Australia",-37.277969,142.932994,"RACF"
"A. G. Eastwood Hostel","376 WARRIGAL Road","CHELTENHAM","3192","376 WARRIGAL Road, CHELTENHAM, VIC, 3192, Australia",-37.95856,145.076137,"RACF"
"Abberfield Aged Care Facility","376-380 BLUFF Road","SANDRINGHAM","3191","376-380 BLUFF Road, SANDRINGHAM, VIC, 3191, Australia",-37.948308,145.022019,"RACF"
"Aberlea","30 Shaw Street","MORTLAKE","3272","30 Shaw Street, MORTLAKE, VIC, 3272, Australia",-38.079223,142.810845,"RACF"
"AdventCare Whitehorse","163-165 Central Road","NUNAWADING","3131","163-165 Central Road, NUNAWADING, VIC, 3131, Australia",-37.8240741,145.169061302651,"RACF"
"AdventCare Yarra Ranges","5 WOODS POINT Road","WARBURTON","3799","5 WOODS POINT Road, WARBURTON, VIC, 3799, Australia",-37.752302,145.702477,"RACF"
"Alan David Lodge","382 TORQUAY Road","GROVEDALE","3216","382 TORQUAY Road, GROVEDALE, VIC, 3216, Australia",-38.215766,144.338887,"RACF"
"Albury Wodonga Health Residential Care Program","52 SYDNEY Road","BEECHWORTH","3747","52 SYDNEY Road, BEECHWORTH, VIC, 3747, Australia",-36.3490283,146.691611278947,"RACF"
"Alchera House","75 BRIDGE Street","KORUMBURRA","3950","75 BRIDGE Street, KORUMBURRA, VIC, 3950, Australia",-38.430385,145.82944,"RACF"
"Alcheringa Hostel","2-14 BOREE Drive","SWAN HILL","3585","2-14 BOREE Drive, SWAN HILL, VIC, 3585, Australia",-35.336707,143.533291,"RACF"
"Allambi Elderly Peoples Home","46 ANDERSON Street","DIMBOOLA","3414","46 ANDERSON Street, DIMBOOLA, VIC, 3414, Australia",-36.449137,142.025716,"RACF"
"Allan W Lockwood Special Care Hostel","6 SCHURMANN Street","NATIMUK","3409","6 SCHURMANN Street, NATIMUK, VIC, 3409, Australia",-36.7456058,141.937704758879,"RACF"
"Allanvale Private Nursing Home","38-40 ASCOT Street  South","ALTONA MEADOWS","3028","38-40 ASCOT Street  South, ALTONA MEADOWS, VIC, 3028, Australia",-37.8708283,144.763103976204,"RACF"
"Allawah Special Care Hostel","42 HUME Street","YARRAWONGA","3730","42 HUME Street, YARRAWONGA, VIC, 3730, Australia",-36.012398,146.006146,"RACF"
"Alpine Health Multi Purpose Service - Mount Beauty","2-8 HOLLONDS Street","MOUNT BEAUTY","3699","2-8 HOLLONDS Street, MOUNT BEAUTY, VIC, 3699, Australia",-36.743151,147.169288,"RACF"
"Alpine Health Multi-Purpose Service - Bright","26-32 COBDEN Street","BRIGHT","3741","26-32 COBDEN Street, BRIGHT, VIC, 3741, Australia",-36.731383,146.964692,"RACF"
"Alpine Health Multi-Purpose Service - Myrtleford","30 O'Donnell Avenue","MYRTLEFORD","3737","30 O'Donnell Avenue, MYRTLEFORD, VIC, 3737, Australia",-36.55459,146.72753,"RACF"
"Altona Gardens Care Community","28-30 RYMILL Court","ALTONA NORTH","3025","28-30 RYMILL Court, ALTONA NORTH, VIC, 3025, Australia",-37.832776,144.839428,"RACF"
"Andrews House","42 SCHOOL Road","TRAFALGAR","3824","42 SCHOOL Road, TRAFALGAR, VIC, 3824, Australia",-38.213753,146.150989,"RACF"
"Anzac Lodge Nursing Home","2-12 ANZAC Avenue","COBURG NORTH","3058","2-12 ANZAC Avenue, COBURG NORTH, VIC, 3058, Australia",-37.722571,144.964741,"RACF"
"Arcare Balnarring","51 BALNARRING Road","BALNARRING","3926","51 BALNARRING Road, BALNARRING, VIC, 3926, Australia",-38.36986,145.123411,"RACF"
"Arcare Brighton","58 COCHRANE Street","BRIGHTON","3186","58 COCHRANE Street, BRIGHTON, VIC, 3186, Australia",-37.900376,144.999025,"RACF"
"Arcare Burnside","2 NICOL Avenue","BURNSIDE","3023","2 NICOL Avenue, BURNSIDE, VIC, 3023, Australia",-37.756885,144.750313,"RACF"
"Arcare Carnegie","47 ROSANNA Street","CARNEGIE","3163","47 ROSANNA Street, CARNEGIE, VIC, 3163, Australia",-37.899079,145.061587,"RACF"
"Arcare Caulfield","141 KOOYONG Road","CAULFIELD NORTH","3161","141 KOOYONG Road, CAULFIELD NORTH, VIC, 3161, Australia",-37.873833,145.017108,"RACF"
"Arcare Cheltenham","161A CENTRE DANDENONG Road","CHELTENHAM","3192","161A CENTRE DANDENONG Road, CHELTENHAM, VIC, 3192, Australia",-37.967672,145.076273,"RACF"
"Arcare Civic Manor","7 CIVIC Drive","EPPING","3076","7 CIVIC Drive, EPPING, VIC, 3076, Australia",-37.647983,145.065491,"RACF"
"Arcare Essendon","33-35 RALEIGH Street","ESSENDON","3040","33-35 RALEIGH Street, ESSENDON, VIC, 3040, Australia",-37.753646,144.922419,"RACF"
"Arcare Hillside","50 COMMUNITY Hub","SYDENHAM","3037","50 COMMUNITY Hub, SYDENHAM, VIC, 3037, Australia",-37.70124505,144.758261987061,"RACF"
"Arcare Keysborough","85 STANLEY Road","KEYSBOROUGH","3173","85 STANLEY Road, KEYSBOROUGH, VIC, 3173, Australia",-38.001761,145.167775,"RACF"
"Arcare Knox","478 BURWOOD Highway","WANTIRNA SOUTH","3152","478 BURWOOD Highway, WANTIRNA SOUTH, VIC, 3152, Australia",-37.865619,145.224832,"RACF"
"Arcare Maidstone","31 HAMPSTEAD Road","MAIDSTONE","3012","31 HAMPSTEAD Road, MAIDSTONE, VIC, 3012, Australia",-37.77757405,144.875576657755,"RACF"
"Arcare Malvern East","1997-2005 MALVERN Road","MALVERN EAST","3145","1997-2005 MALVERN Road, MALVERN EAST, VIC, 3145, Australia",-37.871841,145.063936,"RACF"
"Arcare Nirvana Avenue","408 WAVERLEY Road","MALVERN EAST","3145","408 WAVERLEY Road, MALVERN EAST, VIC, 3145, Australia",-37.878129,145.064596,"RACF"
"Arcare Parkview Malvern East","1287-1291 DANDENONG Road","MALVERN EAST","3145","1287-1291 DANDENONG Road, MALVERN EAST, VIC, 3145, Australia",-37.885022,145.073385,"RACF"
"Arcare Point Lonsdale","5 KNOWLES Grove","POINT LONSDALE","3225","5 KNOWLES Grove, POINT LONSDALE, VIC, 3225, Australia",-38.269507,144.60949,"RACF"
"Arcare Portarlingon","80 WILLIS Street","PORTARLINGTON","3223","80 WILLIS Street, PORTARLINGTON, VIC, 3223, Australia",-38.119557,144.657183,"RACF"
"Arcare Reservoir","2 Gremel Road","RESERVOIR","3073","2 Gremel Road, RESERVOIR, VIC, 3073, Australia",-37.725794,145.028806,"RACF"
"Arcare Surrey Hills","18 FLORENCE Road","SURREY HILLS","3127","18 FLORENCE Road, SURREY HILLS, VIC, 3127, Australia",-37.828286,145.102337,"RACF"
"Arcare Sydenham","31-51 TRICKEY Avenue","SYDENHAM","3037","31-51 TRICKEY Avenue, SYDENHAM, VIC, 3037, Australia",-37.697084,144.767234,"RACF"
"Arcare Templestowe","75 KING Street","TEMPLESTOWE","3106","75 KING Street, TEMPLESTOWE, VIC, 3106, Australia",-37.773786,145.154221,"RACF"
"Arcare Waterview","251-259 WATERVIEW Boulevard","CRAIGIEBURN","3064","251-259 WATERVIEW Boulevard, CRAIGIEBURN, VIC, 3064, Australia",-37.58408,144.906479,"RACF"
"Archie Gray Nursing Home Unit","1 ROACHE Street","KANIVA","3419","1 ROACHE Street, KANIVA, VIC, 3419, Australia",-36.381186,141.246061,"RACF"
"Arpad Aged Care","9 Garrisson Grove","WANTIRNA","3152","9 Garrisson Grove, WANTIRNA, VIC, 3152, Australia",-37.8465268,145.2285804,"RACF"
"Ashleigh House Hostel","20-24 BERGEN Crescent","SALE","3850","20-24 BERGEN Crescent, SALE, VIC, 3850, Australia",-38.105225,147.085276,"RACF"
"Assisi Aged Care","230 ROSANNA Road","ROSANNA","3084","230 ROSANNA Road, ROSANNA, VIC, 3084, Australia",-37.7407301,145.0740092,"RACF"
"Auburn House","98 Camberwell Road","HAWTHORN EAST","3123","98 Camberwell Road, HAWTHORN EAST, VIC, 3123, Australia",-37.827452,145.051907,"RACF"
"Aurrum Brunswick","17 EGGINTON Street","BRUNSWICK WEST","3055","17 EGGINTON Street, BRUNSWICK WEST, VIC, 3055, Australia",-37.76006535,144.93886574756,"RACF"
"Aurrum Healesville","27 SMITH Street","HEALESVILLE","3777","27 SMITH Street, HEALESVILLE, VIC, 3777, Australia",-37.660788,145.508788,"RACF"
"Aurrum Plenty","321-327 DIAMOND CREEK Road","PLENTY","3090","321-327 DIAMOND CREEK Road, PLENTY, VIC, 3090, Australia",-37.67715,145.125321,"RACF"
"Aurrum Reservoir","1 ABERDEEN Street","RESERVOIR","3073","1 ABERDEEN Street, RESERVOIR, VIC, 3073, Australia",-37.7033717,145.018038192456,"RACF"
"Australian Unity Campbell Place Aged Care","129 Coleman Parade","GLEN WAVERLEY","3150","129 Coleman Parade, GLEN WAVERLEY, VIC, 3150, Australia",-37.8790252,145.1591299,"RACF"
"Australian Unity Peninsula Grange Aged Care","2 BOOKER Avenue","MORNINGTON","3931","2 BOOKER Avenue, MORNINGTON, VIC, 3931, Australia",-38.228812,145.069164,"RACF"
"Australian Unity Racecourse Grange Aged Care","428-430 Racecourse Road","MORNINGTON","3931","428-430 Racecourse Road, MORNINGTON, VIC, 3931, Australia",-38.2274018,145.072599041732,"RACF"
"Australian Unity Rathdowne Place Aged Care","497-513 RATHDOWNE Street","CARLTON","3053","497-513 RATHDOWNE Street, CARLTON, VIC, 3053, Australia",-37.7936601,144.970761935383,"RACF"
"Australian Unity Victoria Grange Aged Care","502-514 Burwood Highway","VERMONT SOUTH","3133","502-514 Burwood Highway, VERMONT SOUTH, VIC, 3133, Australia",-37.8572464,145.1852875,"RACF"
"Avoca Hostel","10 TEMPLETON Street","AVOCA","3467","10 TEMPLETON Street, AVOCA, VIC, 3467, Australia",-37.092254,143.467742,"RACF"
"Avonlea Aged Care","3-7 PATTY Street","MENTONE","3194","3-7 PATTY Street, MENTONE, VIC, 3194, Australia",-37.976701,145.054613,"RACF"
"Avonlea Hostel","68-72 MACPHERSON Street","NHILL","3418","68-72 MACPHERSON Street, NHILL, VIC, 3418, Australia",-36.335072,141.655671,"RACF"
"Bairnsdale Parklands Care Community","79 HARNHAM Drive","BAIRNSDALE","3875","79 HARNHAM Drive, BAIRNSDALE, VIC, 3875, Australia",-37.837567,147.596028,"RACF"
"Bairnsdale Regional Health Service ( Maddocks Gardens)","125 MCKEAN Street","BAIRNSDALE","3875","125 MCKEAN Street, BAIRNSDALE, VIC, 3875, Australia",-37.8322163,147.6069827,"RACF"
"Banawah NCN Health Nathalia","36-38 Mcdonell Street","NATHALIA","3638","36-38 Mcdonell Street, NATHALIA, VIC, 3638, Australia",-36.0574497,145.2022936,"RACF"
"Banfields Aged Care","192 THOMPSON Avenue","COWES","3922","192 THOMPSON Avenue, COWES, VIC, 3922, Australia",-38.45972025,145.236760402485,"RACF"
"Banksia Lodge Residential Aged Care Service","15 Waranga Drive","KIALLA","3631","15 Waranga Drive, KIALLA, VIC, 3631, Australia",-36.417317,145.399181,"RACF"
"Baptcare Abbey Gardens Community","15 TARWIN Street","WARRAGUL","3820","15 TARWIN Street, WARRAGUL, VIC, 3820, Australia",-38.151735,145.919507,"RACF"
"Baptcare Amberlea Community","5 PEARSON Road","DROUIN","3818","5 PEARSON Road, DROUIN, VIC, 3818, Australia",-38.138872,145.85346,"RACF"
"Baptcare Brookview Community","130 DIMBOOLA Road","WESTMEADOWS","3049","130 DIMBOOLA Road, WESTMEADOWS, VIC, 3049, Australia",-37.673925,144.910137,"RACF"
"Baptcare Coasthaven Community","45 ROBIN Avenue","NORLANE","3214","45 ROBIN Avenue, NORLANE, VIC, 3214, Australia",-38.0869097,144.351413404231,"RACF"
"Baptcare Hedley Sutton Community","19 Canterbury Road","CAMBERWELL","3124","19 Canterbury Road, CAMBERWELL, VIC, 3124, Australia",-37.82121065,145.062917404361,"RACF"
"Baptcare Heritage Manor Community","147-163 MARYVALE Road","MORWELL","3840","147-163 MARYVALE Road, MORWELL, VIC, 3840, Australia",-38.221356,146.415825,"RACF"
"Baptcare Karana Community","55 Walpole Street","KEW","3101","55 Walpole Street, KEW, VIC, 3101, Australia",-37.801579,145.032171,"RACF"
"Baptcare Northaven Community","84-86 SHADFORTH Street","KERANG","3579","84-86 SHADFORTH Street, KERANG, VIC, 3579, Australia",-35.726308,143.915704,"RACF"
"Baptcare Peninsula View Community","24-28 MOOROODUC Highway","FRANKSTON SOUTH","3199","24-28 MOOROODUC Highway, FRANKSTON SOUTH, VIC, 3199, Australia",-38.1852562,145.1401289,"RACF"
"Baptcare St Hilary's Community","16 ELGIN Street","MORWELL","3840","16 ELGIN Street, MORWELL, VIC, 3840, Australia",-38.239031,146.391074,"RACF"
"Baptcare Strathalan Community","50 Braidhill Road","MACLEOD","3085","50 Braidhill Road, MACLEOD, VIC, 3085, Australia",-37.728019,145.077097,"RACF"
"Baptcare The Orchards Community","107 Andersons Creek Road","DONCASTER EAST","3109","107 Andersons Creek Road, DONCASTER EAST, VIC, 3109, Australia",-37.7667311,145.171310074073,"RACF"
"Baptcare Wattle Grove Community","51 PINETREE Crescent","LALOR","3075","51 PINETREE Crescent, LALOR, VIC, 3075, Australia",-37.666816,144.995575,"RACF"
"Baptcare Westhaven Community","50 PICKETT Street","FOOTSCRAY","3011","50 PICKETT Street, FOOTSCRAY, VIC, 3011, Australia",-37.80082825,144.894350756394,"RACF"
"Baptcare Wyndham Lodge Community","120 SYNNOT Street","WERRIBEE","3030","120 SYNNOT Street, WERRIBEE, VIC, 3030, Australia",-37.906849,144.653487,"RACF"
"Barwo Homestead","8 FEDERATION Street","NATHALIA","3638","8 FEDERATION Street, NATHALIA, VIC, 3638, Australia",-36.056119,145.199376,"RACF"
"Bayside Aged Care","5 MCDONALD Street","MORDIALLOC","3195","5 MCDONALD Street, MORDIALLOC, VIC, 3195, Australia",-38.0047654,145.087198642934,"RACF"
"Beaufort Hostel","1-3 Burton Street","BEAUFORT","3373","1-3 Burton Street, BEAUFORT, VIC, 3373, Australia",-37.4311684,143.3817798,"RACF"
"Beaufort Nursing Home","2 HAVELOCK Street","BEAUFORT","3373","2 HAVELOCK Street, BEAUFORT, VIC, 3373, Australia",-37.428427,143.37966,"RACF"
"Belvedere Aged Care","41-43 FINTONIA Road","NOBLE PARK","3174","41-43 FINTONIA Road, NOBLE PARK, VIC, 3174, Australia",-37.961968,145.18576,"RACF"
"Benetas Broughton Hall","2 Berwick Street","CAMBERWELL","3124","2 Berwick Street, CAMBERWELL, VIC, 3124, Australia",-37.824297,145.060194,"RACF"
"Benetas Clarinda on the Park","21-25 Inverness Street","CLARINDA","3169","21-25 Inverness Street, CLARINDA, VIC, 3169, Australia",-37.9314016,145.1070477,"RACF"
"Benetas Colton Close","1-19 YORK Street","GLENROY","3046","1-19 YORK Street, GLENROY, VIC, 3046, Australia",-37.705362,144.911281,"RACF"
"Benetas Corowa Court","752 ESPLANADE","MORNINGTON","3931","752 ESPLANADE, MORNINGTON, VIC, 3931, Australia",-38.221717,145.032577,"RACF"
